sourceTypeID,monthID,roadTypeID,dayID,dayVMTFraction,FIP
42,1,5,2,0.237635,36085
42,1,5,5,0.762365,36085
42,2,1,2,0.237635,36085
42,2,1,5,0.762365,36085
42,2,2,2,0.27882,36085
42,2,2,5,0.72118,36085
42,2,3,2,0.27882,36085
42,2,3,5,0.72118,36085
42,2,4,2,0.237635,36085
42,2,4,5,0.762365,36085
42,2,5,2,0.237635,36085
42,2,5,5,0.762365,36085
42,3,1,2,0.237635,36085
42,3,1,5,0.762365,36085
42,3,2,2,0.27882,36085
42,3,2,5,0.72118,36085
42,3,3,2,0.27882,36085
42,3,3,5,0.72118,36085
42,3,4,2,0.237635,36085
42,3,4,5,0.762365,36085
42,3,5,2,0.237635,36085
42,3,5,5,0.762365,36085
42,4,1,2,0.237635,36085
42,4,1,5,0.762365,36085
42,4,2,2,0.27882,36085
42,4,2,5,0.72118,36085
42,4,3,2,0.27882,36085
42,4,3,5,0.72118,36085
42,4,4,2,0.237635,36085
42,4,4,5,0.762365,36085
42,4,5,2,0.237635,36085
42,4,5,5,0.762365,36085
42,5,1,2,0.237635,36085
42,5,1,5,0.762365,36085
42,5,2,2,0.27882,36085
42,5,2,5,0.72118,36085
42,5,3,2,0.27882,36085
42,5,3,5,0.72118,36085
42,5,4,2,0.237635,36085
42,5,4,5,0.762365,36085
42,5,5,2,0.237635,36085
42,5,5,5,0.762365,36085
42,6,1,2,0.237635,36085
42,6,1,5,0.762365,36085
42,6,2,2,0.27882,36085
42,6,2,5,0.72118,36085
42,6,3,2,0.27882,36085
42,6,3,5,0.72118,36085
42,6,4,2,0.237635,36085
42,6,4,5,0.762365,36085
42,6,5,2,0.237635,36085
42,6,5,5,0.762365,36085
42,7,1,2,0.237635,36085
42,7,1,5,0.762365,36085
42,7,2,2,0.27882,36085
42,7,2,5,0.72118,36085
42,7,3,2,0.27882,36085
42,7,3,5,0.72118,36085
42,7,4,2,0.237635,36085
42,7,4,5,0.762365,36085
42,7,5,2,0.237635,36085
42,7,5,5,0.762365,36085
42,8,1,2,0.237635,36085
42,8,1,5,0.762365,36085
42,8,2,2,0.27882,36085
42,8,2,5,0.72118,36085
42,8,3,2,0.27882,36085
42,8,3,5,0.72118,36085
42,8,4,2,0.237635,36085
42,8,4,5,0.762365,36085
42,8,5,2,0.237635,36085
42,8,5,5,0.762365,36085
42,9,1,2,0.237635,36085
42,9,1,5,0.762365,36085
42,9,2,2,0.27882,36085
42,9,2,5,0.72118,36085
42,9,3,2,0.27882,36085
42,9,3,5,0.72118,36085
42,9,4,2,0.237635,36085
42,9,4,5,0.762365,36085
42,9,5,2,0.237635,36085
42,9,5,5,0.762365,36085
42,10,1,2,0.237635,36085
42,10,1,5,0.762365,36085
42,10,2,2,0.27882,36085
42,10,2,5,0.72118,36085
42,10,3,2,0.27882,36085
42,10,3,5,0.72118,36085
42,10,4,2,0.237635,36085
42,10,4,5,0.762365,36085
42,10,5,2,0.237635,36085
42,10,5,5,0.762365,36085
42,11,1,2,0.237635,36085
42,11,1,5,0.762365,36085
42,11,2,2,0.27882,36085
42,11,2,5,0.72118,36085
42,11,3,2,0.27882,36085
42,11,3,5,0.72118,36085
42,11,4,2,0.237635,36085
42,11,4,5,0.762365,36085
42,11,5,2,0.237635,36085
42,11,5,5,0.762365,36085
42,12,1,2,0.237635,36085
42,12,1,5,0.762365,36085
42,12,2,2,0.27882,36085
42,12,2,5,0.72118,36085
42,12,3,2,0.27882,36085
42,12,3,5,0.72118,36085
42,12,4,2,0.237635,36085
42,12,4,5,0.762365,36085
42,12,5,2,0.237635,36085
42,12,5,5,0.762365,36085
43,1,1,2,0.237635,36085
43,1,1,5,0.762365,36085
43,1,2,2,0.27882,36085
43,1,2,5,0.72118,36085
43,1,3,2,0.27882,36085
43,1,3,5,0.72118,36085
43,1,4,2,0.237635,36085
43,1,4,5,0.762365,36085
43,1,5,2,0.237635,36085
43,1,5,5,0.762365,36085
43,2,1,2,0.237635,36085
43,2,1,5,0.762365,36085
43,2,2,2,0.27882,36085
43,2,2,5,0.72118,36085
43,2,3,2,0.27882,36085
43,2,3,5,0.72118,36085
43,2,4,2,0.237635,36085
43,2,4,5,0.762365,36085
43,2,5,2,0.237635,36085
43,2,5,5,0.762365,36085
43,3,1,2,0.237635,36085
43,3,1,5,0.762365,36085
43,3,2,2,0.27882,36085
43,3,2,5,0.72118,36085
43,3,3,2,0.27882,36085
43,3,3,5,0.72118,36085
43,3,4,2,0.237635,36085
43,3,4,5,0.762365,36085
43,3,5,2,0.237635,36085
43,3,5,5,0.762365,36085
43,4,1,2,0.237635,36085
43,4,1,5,0.762365,36085
43,4,2,2,0.27882,36085
43,4,2,5,0.72118,36085
43,4,3,2,0.27882,36085
43,4,3,5,0.72118,36085
43,4,4,2,0.237635,36085
43,4,4,5,0.762365,36085
43,4,5,2,0.237635,36085
43,4,5,5,0.762365,36085
43,5,1,2,0.237635,36085
43,5,1,5,0.762365,36085
43,5,2,2,0.27882,36085
43,5,2,5,0.72118,36085
43,5,3,2,0.27882,36085
43,5,3,5,0.72118,36085
43,5,4,2,0.237635,36085
43,5,4,5,0.762365,36085
43,5,5,2,0.237635,36085
43,5,5,5,0.762365,36085
43,6,1,2,0.237635,36085
43,6,1,5,0.762365,36085
43,6,2,2,0.27882,36085
43,6,2,5,0.72118,36085
43,6,3,2,0.27882,36085
43,6,3,5,0.72118,36085
43,6,4,2,0.237635,36085
43,6,4,5,0.762365,36085
43,6,5,2,0.237635,36085
43,6,5,5,0.762365,36085
43,7,1,2,0.237635,36085
43,7,1,5,0.762365,36085
43,7,2,2,0.27882,36085
43,7,2,5,0.72118,36085
43,7,3,2,0.27882,36085
43,7,3,5,0.72118,36085
43,7,4,2,0.237635,36085
43,7,4,5,0.762365,36085
43,7,5,2,0.237635,36085
43,7,5,5,0.762365,36085
43,8,1,2,0.237635,36085
43,8,1,5,0.762365,36085
43,8,2,2,0.27882,36085
43,8,2,5,0.72118,36085
43,8,3,2,0.27882,36085
43,8,3,5,0.72118,36085
43,8,4,2,0.237635,36085
43,8,4,5,0.762365,36085
43,8,5,2,0.237635,36085
43,8,5,5,0.762365,36085
43,9,1,2,0.237635,36085
43,9,1,5,0.762365,36085
43,9,2,2,0.27882,36085
43,9,2,5,0.72118,36085
43,9,3,2,0.27882,36085
43,9,3,5,0.72118,36085
43,9,4,2,0.237635,36085
43,9,4,5,0.762365,36085
43,9,5,2,0.237635,36085
43,9,5,5,0.762365,36085
43,10,1,2,0.237635,36085
43,10,1,5,0.762365,36085
43,10,2,2,0.27882,36085
43,10,2,5,0.72118,36085
43,10,3,2,0.27882,36085
43,10,3,5,0.72118,36085
43,10,4,2,0.237635,36085
43,10,4,5,0.762365,36085
43,10,5,2,0.237635,36085
43,10,5,5,0.762365,36085
43,11,1,2,0.237635,36085
43,11,1,5,0.762365,36085
43,11,2,2,0.27882,36085
43,11,2,5,0.72118,36085
43,11,3,2,0.27882,36085
43,11,3,5,0.72118,36085
43,11,4,2,0.237635,36085
43,11,4,5,0.762365,36085
43,11,5,2,0.237635,36085
43,11,5,5,0.762365,36085
43,12,1,2,0.237635,36085
43,12,1,5,0.762365,36085
43,12,2,2,0.27882,36085
43,12,2,5,0.72118,36085
43,12,3,2,0.27882,36085
43,12,3,5,0.72118,36085
43,12,4,2,0.237635,36085
43,12,4,5,0.762365,36085
43,12,5,2,0.237635,36085
43,12,5,5,0.762365,36085
51,1,1,2,0.237635,36085
51,1,1,5,0.762365,36085
51,1,2,2,0.27882,36085
